# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 25 09:39:08 2026
#
# User preference: *
#
# CONSTRAINT:  where (soltype like '%confirmed%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and pl_radj > 0
# CONSTRAINT:  and pl_bmassj > 0)
# CONSTRAINT:  order by pl_bmassj desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
#
pl_name,sy_snum,discoverymethod,disc_year,soltype,pl_controv_flag,pl_radj,pl_bmassj
PH2 b,1,Transit,2013,Published Confirmed,0,0.90000000,80.00000000
GQ Lup b,1,Imaging,2004,Published Confirmed,0,4.60000000,31.00000000
HR 2562 b,1,Imaging,2016,Published Confirmed,0,1.11000000,30.00000000
CD-35 2722 b,1,Imaging,2011,Published Confirmed,0,1.55000000,29.50000000
TOI-5422 b,1,Transit,2026,Published Confirmed,0,0.81200000,28.00000000
Kepler-47 c,2,Transit,2012,Published Confirmed,0,0.41100000,28.00000000
HD 206893 b,1,Imaging,2021,Published Confirmed,0,1.25000000,28.00000000
KELT-1 b,1,Transit,2012,Published Confirmed,0,1.11000000,27.23000000
TOI-5882 b,1,Transit,2025,Published Confirmed,0,1.05600000,24.29000000
KOI-2513.01,1,Transit,2023,Published Confirmed,0,0.25000000,23.00000000
ZTF J1230-2655 b,1,Transit,2025,Published Confirmed,0,1.23000000,22.10000000
TOI-1994 b,1,Transit,2024,Published Confirmed,0,1.22000000,22.10000000
TOI-5882 b,1,Transit,2025,Published Confirmed,0,1.02300000,22.01000000
WISEP J121756.91+162640.2 A b,1,Imaging,2012,Published Confirmed,0,0.93400000,22.00000000
HN Peg b,1,Imaging,2006,Published Confirmed,0,1.05066000,21.99870000
CoRoT-3 b,1,Transit,2008,Published Confirmed,0,1.03700000,21.96000000
CoRoT-3 b,1,Transit,2008,Published Confirmed,0,1.01000000,21.66000000
CoRoT-3 b,1,Transit,2008,Published Confirmed,0,1.01000000,21.44000000
CoRoT-3 b,1,Transit,2008,Published Confirmed,0,0.99340000,21.23000000
Kepler-39 b,1,Transit,2011,Published Confirmed,0,1.24000000,20.10000000
Kepler-39 b,1,Transit,2011,Published Confirmed,0,1.24000000,20.10000000
bet Pic b,1,Imaging,2008,Published Confirmed,0,1.50000000,20.00000000
